Start Date,2015/1/1,
End Date,2017/12/31,
,,
NKY Index,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_VOLUME
2015/8/26,18376.83,2467737088
2015/8/27,18574.44,1920573952
2015/8/28,19136.32,2051547008
2015/8/31,18890.48,1676295040
2015/9/1,18165.69,1767900032
2015/9/2,18095.4,1978854144
2015/9/3,18182.39,1430480896
2015/9/4,17792.16,1711334400
2015/9/7,17860.47,1646478848
2015/9/8,17427.08,1548652544
2015/9/9,18770.51,2017365632
2015/9/10,18299.62,1726520448
2015/9/11,18264.22,2014885632
2015/9/14,17965.7,1265053184
2015/9/15,18026.48,1463679360
2015/9/16,18171.6,1260305280
2015/9/17,18432.27,1309255936
2015/9/18,18070.21,1719873152
2015/9/24,17571.83,1679308160
2015/9/25,17880.51,1848273664
2015/9/28,17645.11,1308489728
2015/9/29,16930.84,2063070976
2015/9/30,17388.15,1565478656
2015/10/1,17722.42,1612367360
2015/10/2,17725.13,1252826752
2015/10/5,18005.49,1209064448
2015/10/6,18186.1,1475579776
2015/10/7,18322.98,1607574272
2015/10/8,18141.17,1583201536
2015/10/9,18438.67,1849597440
2015/10/13,18234.74,1443259520
2015/10/14,17891,1449950208
2015/10/15,18096.9,1317196416
2015/10/16,18291.8,1295976704
2015/10/19,18131.23,1213488640
2015/10/20,18207.15,1188175488
2015/10/21,18554.28,1429252224
2015/10/22,18435.87,1239394688
2015/10/23,18825.3,1475433984
2015/10/26,18947.12,1217602688
2015/10/27,18777.04,1232809344
2015/10/28,18903.02,1101506176
2015/10/29,18935.71,1781819264
2015/10/30,19083.1,1820071552
2015/11/2,18683.24,1483195776
2015/11/4,18926.91,1570013952
2015/11/5,19116.41,1458861952
2015/11/6,19265.6,1213159936
2015/11/9,19642.74,1688006272
2015/11/10,19671.26,1312038016
2015/11/11,19691.39,1313375104
2015/11/12,19697.77,1234688128
2015/11/13,19596.91,1390611328
2015/11/16,19393.69,1115320448
2015/11/17,19630.63,1454083456
2015/11/18,19649.18,1267255808
2015/11/19,19859.81,1396223104
2015/11/20,19879.81,1097183104
2015/11/24,19924.89,1338516096
2015/11/25,19847.58,1332284288
2015/11/26,19944.41,1172733184
2015/11/27,19883.94,1146350464
2015/11/30,19747.47,1612377088
2015/12/1,20012.4,1330832384
2015/12/2,19938.13,1158614912
2015/12/3,19939.9,1162239360
2015/12/4,19504.48,1341391360
2015/12/7,19698.15,1033324608
2015/12/8,19492.6,1240731904
2015/12/9,19301.07,1303407104
2015/12/10,19046.55,1197078144
2015/12/11,19230.48,1657717120
2015/12/14,18883.42,1342507264
2015/12/15,18565.9,1378237696
2015/12/16,19049.91,1438573696
2015/12/17,19353.56,1526616704
2015/12/18,18986.8,1991975936
2015/12/21,18916.02,1548386432
2015/12/22,18886.7,1356651264
2015/12/24,18789.69,1295178496
2015/12/25,18769.06,1226235520
2015/12/28,18873.35,1022576768
2015/12/29,18982.23,968577216
2015/12/30,19033.71,1004735680
2016/1/4,18450.98,1402093696
2016/1/5,18374,1322792960
2016/1/6,18191.32,1421997056
2016/1/7,17767.34,1679857408
2016/1/8,17697.96,1843411072
2016/1/12,17218.96,1783878656
2016/1/13,17715.63,1458583808
2016/1/14,17240.95,1782870400
2016/1/15,17147.11,1730200320
2016/1/18,16955.57,1572090752
2016/1/19,17048.37,1541592960
2016/1/20,16416.19,1777973760
2016/1/21,16017.26,2281710592
2016/1/22,16958.53,1867779456
2016/1/25,17110.91,1569544576
2016/1/26,16708.9,1469503872
2016/1/27,17163.92,1550352512
2016/1/28,17041.45,1409305088
2016/1/29,17518.3,2943617024
2016/2/1,17865.23,2450222080
2016/2/2,17750.68,2008337408
2016/2/3,17191.25,2284688128
2016/2/4,17044.99,2388022528
2016/2/5,16819.59,2599473920
2016/2/8,17004.3,2000712832
2016/2/9,16085.44,2282362368
2016/2/10,15713.39,2834864128
2016/2/12,14952.61,3405219328
2016/2/15,16022.58,2322380544
2016/2/16,16054.43,2248919552
2016/2/17,15836.36,2040959616
2016/2/18,16196.8,1877781248
2016/2/19,15967.17,1617082752
2016/2/22,16111.05,1398256512
2016/2/23,16052.05,1652284160
2016/2/24,15915.79,1516494976
2016/2/25,16140.34,1698279936
2016/2/26,16188.41,1474359296
2016/2/29,16026.76,1642733312
2016/3/1,16085.51,1522592896
2016/3/2,16746.55,1750785280
2016/3/3,16960.16,2013816320
2016/3/4,17014.78,1836057344
2016/3/7,16911.32,1594899584
2016/3/8,16783.15,1828058496
2016/3/9,16642.2,1606731136
2016/3/10,16852.35,1355659264
2016/3/11,16938.87,1980196096
2016/3/14,17233.75,1408725632
2016/3/15,17117.07,1443362688
2016/3/16,16974.45,1263750144
2016/3/17,16936.38,1525125376
2016/3/18,16724.81,1557485056
2016/3/22,17048.55,1361613952
2016/3/23,17000.98,1046809728
2016/3/24,16892.33,1420924544
2016/3/25,17002.75,1265023616
2016/3/28,17134.37,1235432960
2016/3/29,17103.53,1169529344
2016/3/30,16878.96,1311748096
2016/3/31,16758.67,1574710016
2016/4/1,16164.16,1783597824
2016/4/4,16123.27,1448057344
